item_id,neighbor_item_id,similarity
L5658-H9256-G0820,H3068-V9325-H3407,0.01928374655647383
L5658-H9256-G0820,W4371-A4903-V5613,0.019230769230769232
L5658-H9256-G0820,Z6402-V8652-T6161,0.016778523489932886
L5658-H9256-G0820,K0686-N2285-Z4902,0.015151515151515152
L5658-H9256-G0820,Y4910-G0378-R9699,0.014204545454545454
L5658-H9256-G0820,D0461-B7061-F7551,0.01366742596810934
L5658-H9256-G0820,O4992-A1802-Y7675,0.013544018058690745
L5658-H9256-G0820,W5351-Q3517-D0738,0.013452914798206279
L5658-H9256-G0820,F8401-U9649-D3284,0.013157894736842105
L5658-H9256-G0820,L5124-T1068-A8181,0.01276595744680851
L5658-H9256-G0820,H9674-Q3066-T8299,0.012244897959183673
L5658-H9256-G0820,X6215-H0978-Z7031,0.011904761904761904
L5658-H9256-G0820,Y0468-K7254-X1844,0.01092896174863388
L5658-H9256-G0820,G0174-E0447-Z7622,0.010869565217391304
L5658-H9256-G0820,M8211-H2110-H9727,0.01020408163265306
L5658-H9256-G0820,P8093-C5272-T9759,0.01015228426395939
L5658-H9256-G0820,T2792-N1440-Z9427,0.010101010101010102
L5658-H9256-G0820,V6817-P9198-O8623,0.009933774834437087
L5658-H9256-G0820,D2276-Q8131-Q6647,0.00980392156862745
L5658-H9256-G0820,U2249-E9753-R2569,0.00975609756097561
L5658-H9256-G0820,X9125-L7297-Y4726,0.009708737864077669
L5658-H9256-G0820,R7567-A8447-G9998,0.009615384615384616
L5658-H9256-G0820,C2289-V4210-E9120,0.009615384615384616
L5658-H9256-G0820,D1832-I7156-Q1070,0.009592326139088728
L5658-H9256-G0820,M5370-D5809-Z3195,0.009487666034155597
L5658-H9256-G0820,S1383-J8188-U0665,0.009316770186335404
L5658-H9256-G0820,C4530-V9400-N1557,0.009259259259259259
L5658-H9256-G0820,H1746-A8280-Q1300,0.0091324200913242
L5658-H9256-G0820,C0180-T1767-T5205,0.00911854103343465
L5658-H9256-G0820,V0613-W1955-T9086,0.00904977375565611
L5658-H9256-G0820,X2152-K6208-X4283,0.008583690987124463
L5658-H9256-G0820,J1689-E3078-Z9442,0.008438818565400843
L5658-H9256-G0820,G4582-S5251-T8214,0.008368200836820083
L5658-H9256-G0820,N8679-Q6154-R2821,0.00823045267489712
L5658-H9256-G0820,L4048-B3855-V5131,0.007731958762886598
L5658-H9256-G0820,C2167-W0913-K9234,0.00749063670411985
L5658-H9256-G0820,C0700-O6806-Q2526,0.007462686567164179
L5658-H9256-G0820,Y0665-L9990-B9004,0.007067137809187279
L5658-H9256-G0820,X4636-S5267-W5390,0.006968641114982578
L5658-H9256-G0820,Y4659-Z6747-H4040,0.006944444444444444
L5658-H9256-G0820,B5561-U5923-H6405,0.006880733944954129
L5658-H9256-G0820,Q4362-Y3393-J6498,0.006493506493506494
L5658-H9256-G0820,T1592-A6917-S8755,0.00641025641025641
L5658-H9256-G0820,U6683-Y8440-B2640,0.006329113924050633
L5658-H9256-G0820,D4504-F4030-D2793,0.006269592476489028
L5658-H9256-G0820,C6604-G3039-P4501,0.00625
L5658-H9256-G0820,D6674-Y3736-G8796,0.006230529595015576
L5658-H9256-G0820,M3787-R3015-D6135,0.006153846153846154
L5658-H9256-G0820,E0365-X4878-R3914,0.006060606060606061
L5658-H9256-G0820,K8319-S8647-M0532,0.005952380952380952
Y0468-K7254-X1844,L5658-H9256-G0820,0.01092896174863388
